frame,timestamp_sec,wheel_id
1546,25.792,0
1547,25.809,0
1548,25.826,0
,,
1551,25.876,0
1552,25.893,0
1553,25.909,0
1554,25.926,0
1555,25.943,0
1556,25.959,0
1557,25.976,0
1558,25.993,0
1559,26.009,0
1560,26.026,0
1561,26.043,0
1562,26.059,0
,,
1585,26.443,1
1586,26.46,1
1587,26.476,1
1588,26.493,1
1589,26.51,1
1590,26.527,1
,,
1592,26.56,0
1593,26.577,0
1594,26.593,0
1595,26.61,0
,,
1597,26.643,1
,,
1600,26.693,1
1601,26.71,1
1602,26.727,1
1603,26.743,1
1605,26.777,0
,,
1607,26.81,1
,,
1644,27.427,0
1645,27.444,0
1646,27.461,0
1647,27.477,0
1648,27.494,0
1649,27.511,0
1650,27.527,0
1651,27.544,0
1652,27.561,0
1653,27.578,0
1654,27.594,0
1655,27.611,0
1656,27.628,0
,,
2206,36.803,0
,,
2212,36.904,1
2213,36.92,1
2214,36.937,1
2215,36.954,1
,,
2218,37.004,1
,,
2588,43.176,1
