,시스템이 침범이라고 했음 (P),,시스템이 정상이라고 했음 (N),
,맞게 판단함 (T),틀리게 판단함 (F),맞게 판단함 (T),틀리게 판단함 (F)
Video_1,7,4,,1
Video_2,15,0,,4
Video_3,11,1,,2
Video_4,4,0,,3
