frame,timestamp_sec,wheel_id
2181,36.386,1
2182,36.403,1
2183,36.420,1
2184,36.436,1
2185,36.453,1
2186,36.470,1
2187,36.486,1
2188,36.503,1
2189,36.520,1
2190,36.537,0
2190,36.537,1
2191,36.553,0
2191,36.553,1
2192,36.570,0
2192,36.570,1
2193,36.587,0
2193,36.587,1
2234,37.271,1
2235,37.287,1
2648,44.177,1
2649,44.194,1
2650,44.211,1
2651,44.228,1
2652,44.244,1
2653,44.261,1
2654,44.278,1
2655,44.294,1
2656,44.311,1
2657,44.328,1
2658,44.344,1
2659,44.361,1
2660,44.378,1
2661,44.394,1
2662,44.411,1
2663,44.428,0
2663,44.428,1
2664,44.444,0
2664,44.444,1
2665,44.461,0
2665,44.461,1
2666,44.478,0
2668,44.511,1
2672,44.578,0
2673,44.595,0
2674,44.611,0
2677,44.661,0
2678,44.678,0
2679,44.695,0
2681,44.728,1
2683,44.761,0
2684,44.778,0
2685,44.795,0
2686,44.811,0
2687,44.828,0
2688,44.845,0
2689,44.861,0
2690,44.878,0
2691,44.895,0
2692,44.912,0
2693,44.928,0
2694,44.945,0
2695,44.962,0
2696,44.978,0
2853,47.598,1
2854,47.614,1
3235,53.971,1
3236,53.987,1
3237,54.004,1
3238,54.021,1
3239,54.037,1
3240,54.054,1
3241,54.071,1
3242,54.087,1
3245,54.137,1
3247,54.171,0
3248,54.187,0
3249,54.204,0
3250,54.221,0
3253,54.271,0
3254,54.288,0
3255,54.304,0
3256,54.321,0
3257,54.338,0
3258,54.354,0
3259,54.371,0
3260,54.388,0
3261,54.404,0
3261,54.404,1
3262,54.421,0
3262,54.421,1
3263,54.438,0
3263,54.438,1
3264,54.454,0
3264,54.454,1
3265,54.471,0
3266,54.488,0
3267,54.504,0
3267,54.504,1
3268,54.521,0
3268,54.521,1
3269,54.538,1
3270,54.555,1
3271,54.571,1
3274,54.621,1
3275,54.638,1
3276,54.655,1
3277,54.671,1
3278,54.688,1
3279,54.705,1
3280,54.721,1
3281,54.738,1
3283,54.771,0
3284,54.788,0
3285,54.805,0
3291,54.905,1
3293,54.938,0
3294,54.955,0
3295,54.972,0
3296,54.988,0
3297,55.005,0
3298,55.022,0
3299,55.038,0
3314,55.289,1
3318,55.355,1
3319,55.372,1
3320,55.389,1
3321,55.405,1
3322,55.422,1
3323,55.439,1
3324,55.455,1
3325,55.472,1
3326,55.489,1
3327,55.505,1
3328,55.522,1
3329,55.539,1
3330,55.556,1
3331,55.572,1
3332,55.589,1
3333,55.606,1
3334,55.622,0
3334,55.622,1
3335,55.639,1
3336,55.656,1
3337,55.672,0
3337,55.672,1
3338,55.689,0
3338,55.689,1
3339,55.706,0
3339,55.706,1
3340,55.722,1
3341,55.739,1
3342,55.756,1
3343,55.772,1
3344,55.789,1
3345,55.806,1
3346,55.822,1
3347,55.839,1
3373,56.273,1
3374,56.290,1
3375,56.306,1
3376,56.323,1
3377,56.340,1
3378,56.356,1
3379,56.373,1
3382,56.423,1
3383,56.440,1
3384,56.456,1
3385,56.473,1
3386,56.490,1
3387,56.506,1
3388,56.523,1
3736,62.329,0
3737,62.346,0
3738,62.362,0
3739,62.379,0
3740,62.396,0
3741,62.412,0
3742,62.429,0
3745,62.479,0
3746,62.496,0
3747,62.512,0
3748,62.529,0
3749,62.546,0
3750,62.562,0
3751,62.579,0
3752,62.596,0
3753,62.613,0
3754,62.629,0
3755,62.646,0
3756,62.663,0
3757,62.679,0
3758,62.696,0
3759,62.713,0
3760,62.729,0
3761,62.746,0
