frame,timestamp_sec,wheel_id
2418,40.340,1
2419,40.357,1
2420,40.374,1
2421,40.390,1
2424,40.440,1
2425,40.457,1
2426,40.474,0
2426,40.474,1
2427,40.490,0
2427,40.490,1
2428,40.507,0
2428,40.507,1
2429,40.524,0
2429,40.524,1
2430,40.541,0
2431,40.557,0
2432,40.574,0
2433,40.591,0
2434,40.607,0
2435,40.624,0
2436,40.641,0
2437,40.657,0
2508,41.842,1
2509,41.858,1
2511,41.892,0
2512,41.909,0
2514,41.942,1
2515,41.959,1
2545,42.459,1
2548,42.509,1
2549,42.526,1
2550,42.543,1
2551,42.559,1
3174,52.953,0
3175,52.970,0
3176,52.986,0
3177,53.003,0
3178,53.020,0
3179,53.036,0
3180,53.053,0
3181,53.070,0
3182,53.086,0
3183,53.103,0
3184,53.120,0
3185,53.136,0
3186,53.153,0
3187,53.170,0
3188,53.186,0
3189,53.203,0
3190,53.220,0
3191,53.237,0
3192,53.253,0
3193,53.270,0
3194,53.287,0
3195,53.303,0
3196,53.320,0
3199,53.370,0
3200,53.387,0
3201,53.403,0
3202,53.420,0
3203,53.437,0
3204,53.453,0
3205,53.470,0
3206,53.487,0
3207,53.503,0
3208,53.520,0
3209,53.537,0
3210,53.553,0
3211,53.570,0
3212,53.587,0
3213,53.604,1
3216,53.654,1
3217,53.670,1
3218,53.687,1
3219,53.704,1
3220,53.720,1
3221,53.737,1
3222,53.754,1
3223,53.770,1
3224,53.787,1
3225,53.804,1
3226,53.820,1
3227,53.837,1
3228,53.854,1
3229,53.870,1
3230,53.887,1
3231,53.904,1
3232,53.921,1
3233,53.937,1
3234,53.954,1
3235,53.971,1
3236,53.987,1
3239,54.037,1
3240,54.054,1
3241,54.071,1
3242,54.087,1
3243,54.104,1
3244,54.121,1
3245,54.137,0
3245,54.137,1
3246,54.154,0
3246,54.154,1
3247,54.171,0
3247,54.171,1
3248,54.187,0
3248,54.187,1
3249,54.204,0
3249,54.204,1
3250,54.221,0
3250,54.221,1
3251,54.238,0
3251,54.238,1
3252,54.254,0
3253,54.271,0
3254,54.288,0
3255,54.304,0
3256,54.321,0
3257,54.338,0
3258,54.354,0
3259,54.371,0
3260,54.388,0
3261,54.404,0
3262,54.421,0
3263,54.438,0
3266,54.488,0
3267,54.504,0
3268,54.521,0
3269,54.538,0
3270,54.555,0
3271,54.571,0
3272,54.588,0
3273,54.605,0
3274,54.621,0
3275,54.638,0
3276,54.655,0
3277,54.671,0
3278,54.688,0
3279,54.705,0
3280,54.721,0
3281,54.738,0
3285,54.805,1
3286,54.821,1
3287,54.838,1
3288,54.855,1
3289,54.871,1
3292,54.922,1
3294,54.955,0
3295,54.972,0
3297,55.005,1
3298,55.022,1
3299,55.038,1
3300,55.055,1
3301,55.072,1
3302,55.088,1
3303,55.105,1
3305,55.138,0
3306,55.155,0
3307,55.172,0
3308,55.188,0
3310,55.222,1
3311,55.239,1
3313,55.272,0
3314,55.289,0
3315,55.305,0
3316,55.322,0
3317,55.339,0
3318,55.355,0
3319,55.372,0
3320,55.389,0
3320,55.389,1
3321,55.405,0
3321,55.405,1
3322,55.422,1
3323,55.439,1
3324,55.455,1
6084,101.501,0
6085,101.518,0
6086,101.535,0
6087,101.551,0
6088,101.568,0
6089,101.585,0
8700,145.145,0
8701,145.162,0
8702,145.178,0
8703,145.195,0
8704,145.212,0
8705,145.228,0
8706,145.245,0
8707,145.262,0
8708,145.278,0
8709,145.295,0
8710,145.312,0
8711,145.329,0
8743,145.862,1
8744,145.879,1
8745,145.896,1
8746,145.912,1
8747,145.929,1
8748,145.946,1
8749,145.962,1
8750,145.979,1
8995,150.067,0
8997,150.100,1
8999,150.133,0
9000,150.150,0
9001,150.167,0
9002,150.183,0
9003,150.200,0
9004,150.217,0
9005,150.233,0
9006,150.250,0
9007,150.267,0
9008,150.283,0
9009,150.300,0
9010,150.317,0
9011,150.334,0
9012,150.350,0
9018,150.450,0
9019,150.467,0
9192,153.353,0
9193,153.370,0
9194,153.387,0
9195,153.403,0
9196,153.420,0
9197,153.437,0
9288,154.955,0
9289,154.971,0
9290,154.988,0
9291,155.005,0
9292,155.022,0
9293,155.038,0
9294,155.055,0
9701,161.845,1
9702,161.862,1
9703,161.878,1
9704,161.895,1
9705,161.912,1
9706,161.928,1
9707,161.945,1
9708,161.962,1
9709,161.978,1
9710,161.995,1
9711,162.012,1
9712,162.029,1
9713,162.045,1
9714,162.062,1
9715,162.079,1
9716,162.095,1
