                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.87911,                 0.0139,                0.06147,                0.48331,                 1.1233,                0.99019,                      1,                  0.995,                0.76374,                0.99019,                      1,                  0.995,                  0.995,                0.91654,                0.00893,                0.00368,                0.44274,                 1.0352,               0.008548,               0.008548,               0.008548
                     24,                0.86797,                 0.0138,                0.09236,                0.47597,                 1.1245,                0.98854,                      1,                0.99442,                0.72471,                0.98854,                      1,                0.99442,                0.99442,                0.98653,                0.01324,                0.00155,                0.42621,                 1.0698,               0.008482,               0.008482,               0.008482
                     25,                0.89395,                0.01389,                0.08464,                0.48396,                 1.1294,                0.98553,                      1,                0.99441,                0.62238,                0.98553,                      1,                0.99441,                0.99441,                 1.3842,                0.01812,                0.00011,                0.50245,                 1.3408,               0.008416,               0.008416,               0.008416
                     26,                0.90259,                0.01765,                0.08199,                 0.4929,                 1.1324,                0.98541,                      1,                 0.9948,                0.71444,                0.98541,                      1,                 0.9948,                 0.9948,                 1.0202,                0.00944,                0.00105,                0.41845,                 1.0872,                0.00835,                0.00835,                0.00835
                     27,                0.85299,                0.01315,                0.07596,                0.46168,                 1.1068,                0.98804,                      1,                 0.9949,                0.69092,                0.98804,                      1,                 0.9949,                 0.9949,                 1.1113,                0.00869,                0.00126,                0.43854,                 1.1461,               0.008284,               0.008284,               0.008284
                     28,                 0.8615,                0.01494,                0.08743,                0.47593,                 1.1188,                0.98865,                      1,                 0.9949,                0.71279,                0.98865,                      1,                 0.9949,                 0.9949,                 1.0413,                0.01077,                0.00057,                0.42515,                 1.1042,               0.008218,               0.008218,               0.008218
                     29,                0.83888,                0.01346,                 0.0845,                0.46236,                 1.1022,                0.99381,                      1,                0.99481,                0.77622,                0.99381,                      1,                0.99481,                0.99481,                0.84605,                0.01229,                0.00097,                 0.3823,                 1.0018,               0.008152,               0.008152,               0.008152
                     30,                0.84284,                0.01544,                0.08734,                0.45399,                  1.106,                0.99429,                      1,                0.99437,                  0.725,                0.99429,                      1,                0.99437,                0.99437,                0.97548,                0.00947,                0.00097,                0.39501,                  1.078,               0.008086,               0.008086,               0.008086
                     31,                0.85296,                0.01437,                0.08561,                0.46216,                 1.1071,                0.99476,                      1,                 0.9949,                0.73083,                0.99476,                      1,                 0.9949,                 0.9949,                  0.973,                0.00973,                0.00024,                0.41525,                 1.0675,                0.00802,                0.00802,                0.00802
                     32,                0.83632,                0.01371,                0.06633,                0.46521,                  1.102,                0.99429,                      1,                  0.995,                 0.7667,                0.99429,                      1,                  0.995,                  0.995,                0.91388,                0.00969,                0.00094,                0.39364,                  1.042,               0.007954,               0.007954,               0.007954
                     33,                0.80195,                 0.0124,                0.08071,                0.43728,                 1.0853,                0.99479,                      1,                0.99495,                0.79099,                0.99479,                      1,                0.99495,                0.99495,                0.86118,                 0.0174,                0.00028,                0.37146,                 1.0131,               0.007888,               0.007888,               0.007888
                     34,                0.84402,                0.01242,                0.06477,                0.44845,                 1.1009,                0.99514,                0.99938,                0.99495,                0.76099,                0.99514,                0.99938,                0.99495,                0.99495,                0.88771,                0.00819,                 0.0094,                0.39269,                 1.0233,               0.007822,               0.007822,               0.007822
                     35,                0.82198,                0.01129,                0.08427,                0.44497,                 1.0857,                0.98779,                      1,                0.99413,                 0.8118,                0.98779,                      1,                0.99413,                0.99413,                0.73205,                0.00896,                0.00126,                0.34586,                0.95474,               0.007756,               0.007756,               0.007756
