epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,115.158,0.61896,0.66959,0.98985,0.87345,0,0.46222,0.58758,0.72867,0.47968,0.86863,0.37267,0.46806,0.20173,0.71598,4.89289,0.69981,0.96332,0,0.000331407,0.000331407,0.0671908
2,218.496,0.61674,0.50721,0.59673,0.87708,0,0.62932,0.72091,0.67988,0.48399,0.62232,0.72091,0.69366,0.5355,0.60242,0.45214,0.74397,0.94458,0,0.000660353,0.000660353,0.0341864
3,318.841,0.60466,0.50186,0.54084,0.87423,0,0.82633,0.75866,0.87905,0.58871,0.82633,0.75866,0.88651,0.66363,0.72747,0.64869,0.70927,0.96169,0,0.000984899,0.000984899,0.00117758
4,416.447,0.61159,0.46749,0.54176,0.88063,0,0.61209,0.6147,0.63053,0.46463,0.6484,0.64803,0.69265,0.56801,0.61123,0.4962,0.51663,0.96872,0,0.0009802,0.0009802,0.0009802
5,512.706,0.56673,0.46421,0.4881,0.87686,0,0.79065,0.83445,0.80547,0.58702,0.83206,0.8632,0.85854,0.63143,0.54874,0.45444,0.63823,0.91437,0,0.0009736,0.0009736,0.0009736
6,610.181,0.51774,0.47641,0.44349,0.85583,0,0.66082,0.81023,0.80924,0.49772,0.6808,0.83879,0.86931,0.58871,0.58763,0.47088,0.64518,0.95131,0,0.000967,0.000967,0.000967
7,707.922,0.53386,0.47231,0.46459,0.85914,0,0.73131,0.70875,0.76608,0.58538,0.73416,0.71186,0.76914,0.63849,0.54277,0.40191,0.45349,0.91215,0,0.0009604,0.0009604,0.0009604
8,804.485,0.51374,0.45215,0.43326,0.85085,0,0.66567,0.72091,0.77991,0.55532,0.66804,0.72402,0.78577,0.60715,0.50841,0.35956,0.46461,0.91781,0,0.0009538,0.0009538,0.0009538
9,900.843,0.49284,0.43186,0.40995,0.85253,0,0.86659,0.83207,0.83361,0.63452,0.86659,0.83207,0.83961,0.70828,0.50345,0.37606,0.50167,0.90121,0,0.0009472,0.0009472,0.0009472
10,997.435,0.49219,0.44256,0.40368,0.84479,0,0.59965,0.89117,0.79891,0.5989,0.59965,0.89117,0.79891,0.6532,0.5228,0.40035,0.61926,0.90347,0,0.0009406,0.0009406,0.0009406
