epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2280.42,0.42667,0.42623,0.34412,0.83743,0,0.63013,0.94381,0.90439,0.75089,0.63013,0.94381,0.90439,0.79641,0.49044,0.36246,0.71503,0.90839,0,0.0008218,0.0008218,0.0008218
29,2354.62,0.42837,0.42338,0.33145,0.83278,0,0.64171,0.95449,0.9285,0.74479,0.64171,0.95449,0.9285,0.82457,0.47983,0.38293,0.77695,0.90005,0,0.0008152,0.0008152,0.0008152
30,2428.71,0.42304,0.44012,0.31974,0.83045,0,0.64169,0.94918,0.90464,0.64297,0.64169,0.94918,0.90464,0.76257,0.56267,0.36967,0.72513,0.9375,0,0.0008086,0.0008086,0.0008086
31,2502.76,0.42564,0.43511,0.33015,0.83565,0,0.71782,0.88737,0.85308,0.71893,0.71782,0.88737,0.8545,0.77473,0.44461,0.34468,0.49131,0.90066,0,0.000802,0.000802,0.000802
32,2576.95,0.43101,0.43862,0.32537,0.83208,0,0.68991,0.8958,0.8915,0.71152,0.68991,0.8958,0.8915,0.80947,0.44084,0.33942,0.58819,0.89845,0,0.0007954,0.0007954,0.0007954
33,2650.99,0.41654,0.41887,0.31024,0.8363,0,0.6739,0.96068,0.92767,0.70505,0.6739,0.96068,0.94073,0.83635,0.46495,0.35124,0.52199,0.91347,0,0.0007888,0.0007888,0.0007888
34,2724.99,0.41164,0.41126,0.32565,0.83847,0,0.6446,0.92817,0.9269,0.71417,0.6446,0.92817,0.9269,0.82325,0.45352,0.3636,0.64719,0.91099,0,0.0007822,0.0007822,0.0007822
35,2799.16,0.40494,0.41561,0.3182,0.82753,0,0.80611,0.95826,0.94251,0.7799,0.80702,0.97341,0.95103,0.84741,0.46177,0.35561,0.46938,0.90833,0,0.0007756,0.0007756,0.0007756
36,2873.5,0.4208,0.42962,0.3243,0.83461,0,0.86813,0.98116,0.99,0.72864,0.86813,0.98116,0.99,0.87957,0.45312,0.36738,0.41528,0.92154,0,0.000769,0.000769,0.000769
37,2947.57,0.41234,0.42475,0.31838,0.83463,0,0.8804,0.95074,0.96105,0.77519,0.8804,0.95074,0.96105,0.84443,0.47273,0.36829,0.4258,0.90702,0,0.0007624,0.0007624,0.0007624
